timestamp_ms,rpm,map_mbar_abs,baro_mbar,boost_mbar,boost_bar,maf_g_s,speed_kmh,load_pct,latency_ms,raw_response
1789409339868,831,0.0,1013.0,0.0,0.000,0.00,0,0.0,250,"410C0CFC"
1789409340131,831,1030.0,1013.0,17.0,0.017,0.00,0,0.0,250,"410B67"
1789409340394,826,1030.0,1013.0,17.0,0.017,0.00,0,0.0,251,"410C0CE8"
1789409340659,826,1030.0,1013.0,17.0,0.017,0.00,0,0.0,250,"410B67"
1789409340926,826,1030.0,1013.0,17.0,0.017,10.80,0,0.0,251,"41100438"
1789409341192,831,1030.0,1013.0,17.0,0.017,10.80,0,0.0,250,"410C0CFC"
1789409341454,831,1030.0,1013.0,17.0,0.017,10.80,0,0.0,250,"410B67"
1789409341713,831,1030.0,1013.0,17.0,0.017,10.80,0,0.0,250,"410D00"
1789409341977,831,1030.0,1013.0,17.0,0.017,10.80,0,0.0,251,""
1789409342241,831,1030.0,1013.0,17.0,0.017,10.80,0,0.0,250,"410B67"
1789409342505,831,1030.0,1013.0,17.0,0.017,10.80,0,23.1,250,"41043B"
1789409342770,831,1030.0,1013.0,17.0,0.017,10.80,0,23.1,250,"410C0CFC"
