Timestamp_ms,RelativeTime_s,RPM,Boost_Specified_mbar,Boost_Actual_mbar,N75_Duty_pct,Driver_Wish_IQ_mg,Torque_Limit_IQ_mg,Smoke_Limit_IQ_mg,MAF_Actual_mg
1789324073793,0.665,828,1000,1020,75.0,15.9,14.5,13.7,272.8
1789324074608,1.480,917,1000,1030,75.0,21.6,19.6,18.6,272.8
1789324075340,2.212,819,1000,1040,75.0,21.6,19.6,18.6,277.8
1789324076086,2.958,813,1000,1040,75.0,41.5,37.7,35.9,277.8
1789324076769,3.641,1000,1000,1060,75.0,41.5,37.7,35.9,386.0
1789324077467,4.339,1039,1000,1090,75.0,32.5,29.5,28.1,386.0
1789324078255,5.127,1353,1600,1170,45.0,32.5,29.5,28.1,882.5
1789324078964,5.836,2056,2200,1690,45.0,15.2,13.8,13.1,882.5
1789324079822,6.694,1929,2200,1540,45.0,15.2,13.8,13.1,527.0
1789324080509,7.381,1507,1600,1500,45.0,56.9,51.8,49.2,527.0
1789324081257,8.129,1857,2200,2030,45.0,56.9,51.8,49.2,1771.5
1789324082005,8.877,1920,2200,1290,45.0,10.2,9.3,8.8,1771.5
1789324082717,9.589,1045,1000,1100,75.0,10.2,9.3,8.8,341.5
1789324083519,10.391,947,1000,1060,75.0,14.0,12.7,12.1,341.5
1789324084253,11.125,901,1000,1040,75.0,14.0,12.7,12.1,311.8
1789324084963,11.835,906,1000,1040,75.0,14.2,12.9,12.3,311.8
1789324085769,12.641,900,1000,1040,75.0,14.2,12.9,12.3,311.8
1789324086430,13.302,901,1000,1040,75.0,14.7,13.4,12.7,311.8
1789324087155,14.027,903,1000,1040,75.0,14.7,13.4,12.7,311.8
1789324087818,14.690,898,1000,1040,75.0,14.5,13.2,12.5,311.8
1789324088499,15.371,909,1000,1040,75.0,14.5,13.2,12.5,319.3
1789324089314,16.186,905,1000,1040,75.0,14.2,12.9,12.3,319.3
1789324090038,16.910,902,1000,1040,75.0,14.2,12.9,12.3,315.8
1789324090779,17.651,905,1000,1040,75.0,14.5,13.2,12.5,315.8
1789324091503,18.375,903,1000,1040,75.0,14.5,13.2,12.5,306.8
1789324092203,19.075,864,1000,1030,75.0,14.5,13.2,12.5,306.8
1789324092976,19.848,829,1000,1030,75.0,14.5,13.2,12.5,281.3
1789324093663,20.535,825,1000,1020,75.0,14.2,12.9,12.3,281.3
1789324094348,21.220,830,1000,1020,75.0,14.2,12.9,12.3,277.8
1789324095090,21.962,835,1000,1020,75.0,13.8,12.5,11.9,277.8
1789324095827,22.699,832,1000,1020,75.0,13.8,12.5,11.9,289.5
1789324096615,23.487,831,1000,1020,75.0,14.2,12.9,12.3,289.5
1789324097291,24.163,830,1000,1020,75.0,14.2,12.9,12.3,280.5
1789324097959,24.831,829,1000,1020,75.0,13.8,12.5,11.9,280.5
1789324098764,25.636,828,1000,1020,75.0,13.8,12.5,11.9,282.5
1789324099414,26.286,827,1000,1020,75.0,13.5,12.3,11.7,282.5
1789324100184,27.056,834,1000,1020,75.0,13.5,12.3,11.7,288.0
1789324100983,27.855,827,1000,1020,75.0,13.8,12.5,11.9,288.0
1789324101791,28.663,827,1000,1020,75.0,13.8,12.5,11.9,283.3
1789324102491,29.363,834,1000,1020,75.0,13.5,12.3,11.7,283.3
1789324103248,30.120,830,1000,1020,75.0,13.5,12.3,11.7,283.3
1789324104010,30.882,831,1000,1020,75.0,13.3,12.1,11.5,283.3
1789324104722,31.594,826,1000,1020,75.0,13.3,12.1,11.5,281.3
1789324105405,32.277,828,1000,1020,75.0,13.8,12.5,11.9,281.3
1789324106136,33.008,834,1000,1020,75.0,13.8,12.5,11.9,288.0
1789324106814,33.686,835,1000,1020,75.0,14.2,12.9,12.3,288.0
1789324107486,34.358,833,1000,1020,75.0,14.2,12.9,12.3,281.8
1789324108162,35.034,829,1000,1020,75.0,13.5,12.3,11.7,281.8
1789324108842,35.714,830,1000,1020,75.0,13.5,12.3,11.7,284.5
1789324109684,36.556,831,1000,1020,75.0,13.3,12.1,11.5,284.5
1789324110450,37.322,833,1000,1020,75.0,13.3,12.1,11.5,284.5
1789324111198,38.070,832,1000,1020,75.0,13.5,12.3,11.7,284.5
1789324111926,38.798,834,1000,1020,75.0,13.5,12.3,11.7,284.5
1789324112607,39.479,828,1000,1020,75.0,13.5,12.3,11.7,284.5
1789324113308,40.180,833,1000,1020,75.0,13.5,12.3,11.7,283.3
1789324114155,41.027,830,1000,1020,75.0,13.8,12.5,11.9,283.3
1789324114843,41.715,828,1000,1020,75.0,13.8,12.5,11.9,284.0
1789324115633,42.505,832,1000,1020,75.0,13.8,12.5,11.9,284.0
1789324116305,43.177,833,1000,1020,75.0,13.8,12.5,11.9,288.0
1789324117007,43.879,828,1000,1020,75.0,14.0,12.7,12.1,288.0
