Timestamp_ms,RelativeTime_s,RPM,Boost_Specified_mbar,Boost_Actual_mbar,N75_Duty_pct,Driver_Wish_IQ_mg,Torque_Limit_IQ_mg,Smoke_Limit_IQ_mg,MAF_Actual_mg
1789371613465,0.027,831,0,1020,0.0,0.0,0.0,0.0,11.16
1789371614211,0.773,830,0,1020,0.0,0.0,0.0,0.0,11.16
1789371614913,1.475,829,0,1020,0.0,0.0,0.0,0.0,11.16
1789371615674,2.236,833,0,1020,0.0,0.0,0.0,0.0,11.36
1789371616402,2.964,831,0,1020,0.0,0.0,0.0,0.0,11.36
1789371617220,3.782,832,0,1020,0.0,0.0,0.0,0.0,11.27
1789371617920,4.482,829,0,1020,0.0,0.0,0.0,0.0,11.27
1789371618595,5.157,829,0,1020,0.0,0.0,0.0,0.0,11.08
1789371619399,5.961,832,0,1020,0.0,0.0,0.0,0.0,11.08
1789371620105,6.667,831,0,1020,0.0,0.0,0.0,0.0,11.47
1789371620782,7.344,836,0,1020,0.0,0.0,0.0,0.0,11.47
1789371621485,8.047,826,0,1020,0.0,0.0,0.0,0.0,11.19
1789371622192,8.754,828,0,1020,0.0,0.0,0.0,0.0,11.19
1789371622926,9.488,829,0,1020,0.0,0.0,0.0,0.0,11.30
1789371623652,10.214,829,0,1020,0.0,0.0,0.0,0.0,11.30
1789371624441,11.003,825,0,1020,0.0,0.0,0.0,0.0,11.22
1789371625174,11.736,829,0,1020,0.0,0.0,0.0,0.0,11.22
1789371625859,12.421,832,0,1020,0.0,0.0,0.0,0.0,11.33
1789371626655,13.217,834,0,1020,0.0,0.0,0.0,0.0,11.33
1789371627411,13.973,830,0,1020,0.0,0.0,0.0,0.0,11.08
1789371628190,14.752,829,0,1020,0.0,0.0,0.0,0.0,11.08
1789371629025,15.587,835,0,1020,0.0,0.0,0.0,0.0,11.13
1789371629831,16.393,828,0,1020,0.0,0.0,0.0,0.0,11.13
1789371630659,17.221,830,0,1020,0.0,0.0,0.0,0.0,11.22
1789371631405,17.967,828,0,1020,0.0,0.0,0.0,0.0,11.22
1789371632226,18.788,829,0,1020,0.0,0.0,0.0,0.0,11.36
1789371632945,19.507,828,0,1020,0.0,0.0,0.0,0.0,11.36
1789371633698,20.260,832,0,1020,0.0,0.0,0.0,0.0,11.36
1789371634422,20.984,831,0,1020,0.0,0.0,0.0,0.0,11.36
1789371635130,21.692,829,0,1020,0.0,0.0,0.0,0.0,11.27
1789371635846,22.408,833,0,1020,0.0,0.0,0.0,0.0,11.27
1789371636570,23.132,835,0,1020,0.0,0.0,0.0,0.0,11.11
1789371637328,23.890,829,0,1020,0.0,0.0,0.0,0.0,11.11
1789371638102,24.664,829,0,1020,0.0,0.0,0.0,0.0,11.41
1789371638847,25.409,831,0,1020,0.0,0.0,0.0,0.0,11.41
1789371639554,26.116,832,0,1020,0.0,0.0,0.0,0.0,11.25
1789371640315,26.877,830,0,1020,0.0,0.0,0.0,0.0,11.25
1789371641060,27.622,831,0,1020,0.0,0.0,0.0,0.0,11.33
1789371641977,28.539,831,0,1020,0.0,0.0,0.0,0.0,11.33
1789371642732,29.294,829,0,1020,0.0,0.0,0.0,0.0,11.55
1789371644274,30.836,831,0,1020,0.0,0.0,0.0,0.0,11.55
1789371645117,31.679,829,0,1020,0.0,0.0,0.0,0.0,11.25
1789371645955,32.517,829,0,1020,0.0,0.0,0.0,0.0,11.25
1789371646675,33.237,825,0,1020,0.0,0.0,0.0,0.0,11.38
1789371647435,33.997,827,0,1020,0.0,0.0,0.0,0.0,11.38
1789371648200,34.762,833,0,1020,0.0,0.0,0.0,0.0,11.27
1789371648926,35.488,822,0,1020,0.0,0.0,0.0,0.0,11.27
1789371649701,36.263,807,0,1020,0.0,0.0,0.0,0.0,11.05
1789371650433,36.995,819,0,1020,0.0,0.0,0.0,0.0,11.05
1789371651185,37.747,865,0,1020,0.0,0.0,0.0,0.0,11.41
1789371651910,38.472,849,0,1020,0.0,0.0,0.0,0.0,11.41
1789371652664,39.226,830,0,1020,0.0,0.0,0.0,0.0,10.91
1789371653390,39.952,807,0,1020,0.0,0.0,0.0,0.0,10.91
1789371654143,40.705,821,0,1030,0.0,0.0,0.0,0.0,11.13
1789371654874,41.436,837,0,1030,0.0,0.0,0.0,0.0,11.13
1789371655650,42.212,824,0,1030,0.0,0.0,0.0,0.0,11.88
1789371656502,43.064,859,0,1030,0.0,0.0,0.0,0.0,11.88
1789371657228,43.790,837,0,1030,0.0,0.0,0.0,0.0,11.38
1789371657937,44.499,826,0,1030,0.0,0.0,0.0,0.0,11.38
1789371658649,45.211,819,0,1030,0.0,0.0,0.0,0.0,11.00
1789371659394,45.956,833,0,1030,0.0,0.0,0.0,0.0,11.00
1789371660147,46.709,881,0,1030,0.0,0.0,0.0,0.0,12.19
1789371660886,47.448,836,0,1040,0.0,0.0,0.0,0.0,12.19
1789371661596,48.158,947,0,1050,0.0,0.0,0.0,0.0,14.77
1789371662359,48.921,975,0,1050,0.0,0.0,0.0,0.0,14.77
1789371663120,49.682,1053,0,1060,0.0,0.0,0.0,0.0,16.88
1789371663852,50.414,1210,0,1090,0.0,0.0,0.0,0.0,16.88
1789371664572,51.134,1344,0,1130,0.0,0.0,0.0,0.0,18.25
1789371665286,51.848,1033,0,1100,0.0,0.0,0.0,0.0,18.25
1789371666046,52.608,928,0,1060,0.0,0.0,0.0,0.0,12.47
1789371666807,53.369,902,0,1040,0.0,0.0,0.0,0.0,12.47
1789371667622,54.184,904,0,1040,0.0,0.0,0.0,0.0,12.50
1789371668453,55.015,899,0,1030,0.0,0.0,0.0,0.0,12.50
1789371669185,55.747,900,0,1030,0.0,0.0,0.0,0.0,12.66
1789371669894,56.456,903,0,1030,0.0,0.0,0.0,0.0,12.66
